"Day ","Items ","Note ","Amount "
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15556 ","-113120"
"90","Human Resource Expense","Counselled","-2000"
"90","Machines","Asset Disposed","30000"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15564 ","-121200"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15564 ","-112000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"90","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-40000"
"90","Marketing Expense","Cash Payment - Marketing - Manila","-40000"
"90","Marketing Expense","Cash Payment - Marketing - Bangkok","-40000"
"90","Marketing Expense","Cash Payment - Marketing - Jakarta","-40000"
"90","Salary Expense","Cash Payment - Salary Expense","-1916"
"90","Salary Expense","Cash Payment - Salary Expense","-1862"
"90","Salary Expense","Cash Payment - Salary Expense","-2039"
"90","Salary Expense","Cash Payment - Salary Expense","-1850"
"90","Salary Expense","Cash Payment - Salary Expense","-1823"
"90","Salary Expense","Cash Payment - Salary Expense","-22802"
"90","Retail","Revenue - Retail Sales Ho Chi Minh City - Red Wine","64220"
"90","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","8050"
"90","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","185060"
"90","Retail","Revenue - Retail Sales Manila - Red Wine","162300"
"90","Retail","Revenue - Retail Sales Manila - White Wine","56030"
"90","Retail","Revenue - Retail Sales Manila - Sparkling Wine","14640"
"90","Retail","Revenue - Retail Sales Bangkok - Red Wine","28080"
"90","Retail","Revenue - Retail Sales Bangkok - White Wine","8272"
"90","Retail","Revenue - Retail Sales Bangkok - Sparkling Wine","81440"
"90","Retail","Revenue - Retail Sales Jakarta - Red Wine","48620"
"90","Retail","Revenue - Retail Sales Jakarta - White Wine","99120"
"90","Retail","Revenue - Retail Sales Jakarta - Sparkling Wine","15510"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","-1798"
"90","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","-1560"
"90","Rental Expense","Cash Payment - Rental - Butterworth","-2000"
"90","Rental Expense","Cash Payment - Rental - Manila","-1860"
"90","Rental Expense","Cash Payment - Rental - Bangkok","-1320"
"90","Rental Expense","Cash Payment - Rental - Jakarta","-1800"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"89","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-40000"
"89","Marketing Expense","Cash Payment - Marketing - Manila","-40000"
"89","Marketing Expense","Cash Payment - Marketing - Bangkok","-40000"
"89","Marketing Expense","Cash Payment - Marketing - Jakarta","-40000"
"89","Salary Expense","Cash Payment - Salary Expense","-1916"
"89","Salary Expense","Cash Payment - Salary Expense","-1862"
"89","Salary Expense","Cash Payment - Salary Expense","-2039"
"89","Salary Expense","Cash Payment - Salary Expense","-1850"
"89","Salary Expense","Cash Payment - Salary Expense","-1823"
"89","Salary Expense","Cash Payment - Salary Expense","-22722"
"89","Retail","Revenue - Retail Sales Ho Chi Minh City - Red Wine","58890"
"89","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","7950"
"89","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","189620"
"89","Retail","Revenue - Retail Sales Manila - White Wine","53430"
"89","Retail","Revenue - Retail Sales Manila - Sparkling Wine","15840"
"89","Retail","Revenue - Retail Sales Bangkok - Red Wine","38160"
"89","Retail","Revenue - Retail Sales Bangkok - White Wine","8536"
"89","Retail","Revenue - Retail Sales Bangkok - Sparkling Wine","82720"
"89","Retail","Revenue - Retail Sales Jakarta - Red Wine","48180"
"89","Retail","Revenue - Retail Sales Jakarta - White Wine","97160"
"89","Retail","Revenue - Retail Sales Jakarta - Sparkling Wine","13860"
"89","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","-2015"
"89","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","-1560"
"89","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Butterworth","-72"
"89","Rental Expense","Cash Payment - Rental - Butterworth","-2000"
"89","Rental Expense","Cash Payment - Rental - Manila","-1860"
"89","Rental Expense","Cash Payment - Rental - Bangkok","-1320"
"89","Rental Expense","Cash Payment - Rental - Jakarta","-1800"
"88","Sales E Commerce","Revenue - ECM SO ID: 14476","114000"
"88","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15090 ","-218400"
"88","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15090 ","-188160"
"88","Human Resource Expense","Counselled","-2000"
"88","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15243 ","-169680"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"88","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-40000"
"88","Marketing Expense","Cash Payment - Marketing - Manila","-40000"
"88","Marketing Expense","Cash Payment - Marketing - Bangkok","-40000"
"88","Marketing Expense","Cash Payment - Marketing - Jakarta","-40000"
"88","Salary Expense","Cash Payment - Salary Expense","-1916"
"88","Salary Expense","Cash Payment - Salary Expense","-1862"
"88","Salary Expense","Cash Payment - Salary Expense","-2039"
"88","Salary Expense","Cash Payment - Salary Expense","-1800"
"88","Salary Expense","Cash Payment - Salary Expense","-1823"
"88","Salary Expense","Cash Payment - Salary Expense","-22684"
