"Day ","Items ","Note ","Amount "
"90","Human Resource Expense","Counselled","2000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"90","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","40000"
"90","Marketing Expense","Cash Payment - Marketing - Manila","40000"
"90","Marketing Expense","Cash Payment - Marketing - Bangkok","40000"
"90","Marketing Expense","Cash Payment - Marketing - Jakarta","40000"
"90","Salary Expense","Cash Payment - Salary Expense","1916"
"90","Salary Expense","Cash Payment - Salary Expense","1862"
"90","Salary Expense","Cash Payment - Salary Expense","2039"
"90","Salary Expense","Cash Payment - Salary Expense","1850"
"90","Salary Expense","Cash Payment - Salary Expense","1823"
"90","Salary Expense","Cash Payment - Salary Expense","22802"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","1798"
"90","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"90","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"90","Rental Expense","Cash Payment - Rental - Manila","1860"
"90","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"90","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"90","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"89","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","40000"
"89","Marketing Expense","Cash Payment - Marketing - Manila","40000"
"89","Marketing Expense","Cash Payment - Marketing - Bangkok","40000"
"89","Marketing Expense","Cash Payment - Marketing - Jakarta","40000"
"89","Salary Expense","Cash Payment - Salary Expense","1916"
"89","Salary Expense","Cash Payment - Salary Expense","1862"
"89","Salary Expense","Cash Payment - Salary Expense","2039"
"89","Salary Expense","Cash Payment - Salary Expense","1850"
"89","Salary Expense","Cash Payment - Salary Expense","1823"
"89","Salary Expense","Cash Payment - Salary Expense","22722"
"89","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","2015"
"89","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"89","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Butterworth","72"
"89","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"89","Rental Expense","Cash Payment - Rental - Manila","1860"
"89","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"89","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"89","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"88","Human Resource Expense","Counselled","2000"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"88","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","40000"
"88","Marketing Expense","Cash Payment - Marketing - Manila","40000"
"88","Marketing Expense","Cash Payment - Marketing - Bangkok","40000"
"88","Marketing Expense","Cash Payment - Marketing - Jakarta","40000"
"88","Salary Expense","Cash Payment - Salary Expense","1916"
"88","Salary Expense","Cash Payment - Salary Expense","1862"
"88","Salary Expense","Cash Payment - Salary Expense","2039"
"88","Salary Expense","Cash Payment - Salary Expense","1800"
"88","Salary Expense","Cash Payment - Salary Expense","1823"
"88","Salary Expense","Cash Payment - Salary Expense","22684"
"88","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","2263"
"88","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"88","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Butterworth","72"
"88","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"88","Rental Expense","Cash Payment - Rental - Manila","1860"
"88","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"88","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"88","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"87","Human Resource Expense","Counselled","2000"
"87","Human Resource Expense","Staff Dismiss","27000"
"87","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"87","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","40000"
"87","Marketing Expense","Cash Payment - Marketing - Manila","40000"
"87","Marketing Expense","Cash Payment - Marketing - Bangkok","40000"
"87","Marketing Expense","Cash Payment - Marketing - Jakarta","40000"
"87","Salary Expense","Cash Payment - Salary Expense","1916"
"87","Salary Expense","Cash Payment - Salary Expense","1862"
"87","Salary Expense","Cash Payment - Salary Expense","2039"
"87","Salary Expense","Cash Payment - Salary Expense","1800"
"87","Salary Expense","Cash Payment - Salary Expense","1823"
"87","Salary Expense","Cash Payment - Salary Expense","22684"
"87","Shipping Expense","Cash Payment - Shipping Expense - B2B SO : 13657","272201"
"87","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 361","15000"
"87","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"87","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Butterworth","72"
"87","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"87","Rental Expense","Cash Payment - Rental - Manila","1860"
"87","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"87","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"87","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"86","Human Resource Expense","Counselled","2000"
"86","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"86","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","40000"
"86","Marketing Expense","Cash Payment - Marketing - Manila","40000"
"86","Marketing Expense","Cash Payment - Marketing - Bangkok","40000"
"86","Marketing Expense","Cash Payment - Marketing - Jakarta","40000"
"86","Salary Expense","Cash Payment - Salary Expense","1916"
"86","Salary Expense","Cash Payment - Salary Expense","1843"
"86","Salary Expense","Cash Payment - Salary Expense","2016"
"86","Salary Expense","Cash Payment - Salary Expense","1778"
"86","Salary Expense","Cash Payment - Salary Expense","1823"
"86","Salary Expense","Cash Payment - Salary Expense","23049"
"86","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 365","15000"
"86","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"86","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Butterworth","794"
"86","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"86","Rental Expense","Cash Payment - Rental - Manila","1860"
"86","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"86","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","646"
"86","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"86","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"85","Human Resource Expense","Counselled","2000"
"85","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"85","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","40000"
"85","Marketing Expense","Cash Payment - Marketing - Manila","40000"
"85","Marketing Expense","Cash Payment - Marketing - Bangkok","40000"
"85","Marketing Expense","Cash Payment - Marketing - Jakarta","40000"
"85","Salary Expense","Cash Payment - Salary Expense","1916"
"85","Salary Expense","Cash Payment - Salary Expense","1843"
"85","Salary Expense","Cash Payment - Salary Expense","2016"
"85","Salary Expense","Cash Payment - Salary Expense","1778"
"85","Salary Expense","Cash Payment - Salary Expense","1823"
"85","Salary Expense","Cash Payment - Salary Expense","23049"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14476","1140"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 378","15000"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 382","15000"
"85","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"85","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"85","Rental Expense","Cash Payment - Rental - Manila","1860"
"85","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"85","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"85","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"84","Human Resource Expense","Attended Training","15000"
"84","Human Resource Expense","Attended Training","15000"
"84","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"84","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","40000"
"84","Marketing Expense","Cash Payment - Marketing - Manila","40000"
"84","Marketing Expense","Cash Payment - Marketing - Bangkok","40000"
"84","Marketing Expense","Cash Payment - Marketing - Jakarta","40000"
"84","Salary Expense","Cash Payment - Salary Expense","1916"
"84","Salary Expense","Cash Payment - Salary Expense","1823"
"84","Salary Expense","Cash Payment - Salary Expense","2016"
"84","Salary Expense","Cash Payment - Salary Expense","1778"
"84","Salary Expense","Cash Payment - Salary Expense","1823"
"84","Salary Expense","Cash Payment - Salary Expense","23049"
"84","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"84","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"84","Rental Expense","Cash Payment - Rental - Manila","1860"
"84","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"84","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"84","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"83","Human Resource Expense","Counselled","2000"
"83","Human Resource Expense","Counselled","2000"
"83","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"83","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","40000"
"83","Marketing Expense","Cash Payment - Marketing - Manila","40000"
"83","Marketing Expense","Cash Payment - Marketing - Bangkok","40000"
"83","Marketing Expense","Cash Payment - Marketing - Jakarta","40000"
"83","Salary Expense","Cash Payment - Salary Expense","1916"
"83","Salary Expense","Cash Payment - Salary Expense","1823"
"83","Salary Expense","Cash Payment - Salary Expense","2016"
"83","Salary Expense","Cash Payment - Salary Expense","1778"
"83","Salary Expense","Cash Payment - Salary Expense","1823"
"83","Salary Expense","Cash Payment - Salary Expense","22893"
"83","Shipping Expense","Cash Payment - Shipping Expense - B2B SO : 13840","36770"
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","434"
"83","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"83","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Manila","560"
"83","Rental Expense","Cash Payment - Rental - Manila","1860"
"83","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","204"
"83","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"83","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"82","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"82","Human Resource Expense","Attended Training","15000"
"82","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"82","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","25000"
"82","Marketing Expense","Cash Payment - Marketing - Manila","25000"
"82","Marketing Expense","Cash Payment - Marketing - Bangkok","25000"
"82","Marketing Expense","Cash Payment - Marketing - Jakarta","26000"
"82","Salary Expense","Cash Payment - Salary Expense","1898"
"82","Salary Expense","Cash Payment - Salary Expense","1823"
"82","Salary Expense","Cash Payment - Salary Expense","2016"
"82","Salary Expense","Cash Payment - Salary Expense","1778"
"82","Salary Expense","Cash Payment - Salary Expense","1823"
"82","Salary Expense","Cash Payment - Salary Expense","22893"
"82","Shipping Expense","Cash Payment - Shipping Expense - B2B SO : 13493","65998"
"82","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"82","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"82","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Manila","805"
"82","Rental Expense","Cash Payment - Rental - Manila","1860"
