Day,Sales,Trading Profit,Operating Expense,Net Profit
11,4747506,1664076,908503,755573
12,4913504,1757978,1026507,731471
13,5048033,1572056,1198032,374024
14,5222652,1668207,1359563,312754
15,5458914,-1103598,1658696,-2758184
16,5589975,-1517050,1696535,-3209475
17,5755371,-1433322,1795698,-3224910
18,8194450,637622,1977296,-1338647
19,8399526,484879,2059989,-1572542
20,8609072,242008,2158032,-1913456
21,8792048,333345,2241666,-1904982
22,8982025,433533,2340413,-1903541
23,9180615,540801,2444914,-1900389
24,10358853,1174107,2614653,-1437849
25,10492077,1255378,2711814,-1453739
26,10728034,1378785,2832430,-1450242
27,10997201,593706,3120380,-2522918
28,14220968,3439619,3300384,139235
29,15122066,4160242,3460349,699893
30,15437496,4285101,3568782,716319
31,15758072,4482320,3678259,804061
32,16067080,4279754,3800904,478850
33,17741837,5346814,3937014,1409800
34,19313815,6462249,4044446,2417803
35,21770348,8183480,4183171,4000309
36,22203158,8429988,4292204,4137784
37,22520725,8247624,4433135,3814489
38,22835988,8383106,4538809,3844297
39,23253171,8763088,4663465,4099623
40,26233561,11615714,4903976,6711738
41,26695033,11950562,5011247,6939315
42,27068593,12195007,5120327,7074680
43,27440050,12131168,5269128,6862040
44,29872866,13821915,5455346,8366569
45,32065873,15465352,5618549,9846803
46,32382224,13914158,5867168,8046990
47,32710397,14213469,6030024,8183445
48,33156015,14531926,6179507,8352419
49,33974072,15217193,6332817,8884376
50,34393775,15509252,6496898,9012354
51,36964191,17951193,6670393,11280800
52,38219392,18837987,6821372,12016615
53,39586195,19880211,7020254,12859957
54,40767875,20756082,7184907,13571175
55,41231899,21092624,7425884,13666740
56,41685861,21428682,7618613,13810069
57,42107841,21133234,7927726,13205508
58,42610092,21509473,8141131,13368342
59,43169754,21948522,8400518,13548004
60,43717104,21474237,8724007,12750230
61,44281522,21916261,8947193,12969068
62,44858699,22370008,9156935,13213073
63,45450084,22844321,9364202,13480119
64,46106388,23373402,9573203,13800199
65,48510120,25307656,9784366,15523290
66,50400419,27078825,10010880,17067945
67,50895536,27083759,10293988,16789771
68,52109783,27668829,10616160,17052669
69,52668573,28109681,10838720,17270961
70,55323977,30245722,11113015,19132707
71,58495511,32775512,11320663,21454849
72,60826684,33204713,11656827,21547886
73,61113784,33449420,11972206,21477214
74,61747309,34012094,12238088,21774006
75,62316095,34473476,12477497,21995979
76,63150468,34430118,12830250,21599868
77,64331170,33619535,13129074,20490461
78,64871155,34065546,13321081,20744465
79,66535693,35635070,13495798,22139272
80,69896193,38900470,13671597,25228873
81,72520243,41427511,13934845,27492666
82,73110043,41540325,14207161,27333164
83,73740543,41871351,14483252,27388099
84,77724168,45229849,14747531,30482318
85,80948214,47882329,15014970,32867359
86,81550282,48400273,15267709,33132564
87,82092416,47348531,15817980,31530551
88,82795997,47951428,16056313,31895115
89,83410343,48465419,16292486,32172933
90,84181685,49121856,16530450,32621406
