Day,Cash On Hand
11,1786273
12,1318267
13,895911
14,372003
15,320799
16,119288
17,197188
18,29976
19,530806
20,340976
21,605355
22,405844
23,340575
24,236402
25,182756
26,227452
27,435180
28,552333
29,991433
30,1003399
31,700379
32,366240
33,1821554
34,2665167
35,4363162
36,4023606
37,4101909
38,4223165
39,3418319
40,5732495
41,6098363
42,6274510
43,4938033
44,7196298
45,8671369
46,8217608
47,8005252
48,7954614
49,8349908
50,8617197
51,11025785
52,12141674
53,13089262
54,12643682
55,12427156
56,11079434
57,10471314
58,9912779
59,9831388
60,9680250
61,8774867
62,8721135
63,9130254
64,9086558
65,10389772
66,12078558
67,12315568
68,12511612
69,12450323
70,14156257
71,15819468
72,17839478
73,17829533
74,17043172
75,16381483
76,16217837
77,16903049
78,17096685
79,18599840
80,21509875
81,22573179
82,22903997
83,22525018
84,26199054
85,29116183
86,27876362
87,27584271
88,27486613
89,27878120
90,28108512
